Message,Label,processed_text
"Gunaydin,cok tesekkur ederim:) sabah sabah haftaya guzel baaslaattiniz sagolun,) iyi seneler:)",ham,gunaydin cok tesekkur ederim sabah sabah haftaya guzel baaslaattiniz sagolun iyi seneler
Orda kalacak herkesin ismini istediler,ham,orda kalacak herkesin ismini istediler
"Oh süper, okula da devam ediyorsun değil mi",ham,oh süper okula devam ediyorsun değil mi
"Hocam, eğer yarın akşam üzeri bitecek olursa, eşim pazartesi günü ulaştırabileceğini söylüyor. Emeğinizin karşılığını vereceğim, yoksa içim rahat etmez. Selamlar...",ham,hocam yarın akşam üzeri bitecek olursa eşim pazartesi günü ulaştırabileceğini söylüyor emeğinizin karşılığını vereceğim yoksa içim rahat etmez selamlar
ÌÏ come lt 25 n pass to me lar,ham,come lt pas lar
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham,konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dream
Tell where you reached,ham,tell reached
Tamamdır geldi;) saolasın,ham,tamamdır geldi saolasın
Pardon :) abudabi saatiyle 8.30 :)),ham,pardon abudabi saatiyle
Kıskandım. En çok benim dostumdun :),ham,kıskandım benim dostumdun
Bonus American Expressle Opette ayri gunlerde 4 defa 75TL uzeri akaryakit alimina 25TL bonus!Ilk harcamadan once OPET yaz 3340'a gonder.Son gun 31/08. bonus.com.tr.Size ozel indirim/kampanyalarimizla ilgili ucretsiz SMS almak istemiyorsaniz IZINSIZ yazip 3342'ye gonderebilirsiniz.,spam,bonus american expressle opette ayri gunlerde tl uzeri akaryakit alimina tl bonus ilk harcamadan opet yaz gonder son gun bonus com tr size ozel indirim kampanyalarimizla ilgili ucretsiz sm almak istemiyorsaniz izinsiz yazip ye gonderebilirsiniz
Cara panggil na localhost/SistemRumahSakit/gerbang/rawatdarurat,ham,cara panggil na localhost sistemrumahsakit gerbang rawatdarurat
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham,ok bus come soon come otherwise tomorrow
5 FILTRELI  TEZGAH ALTI SU ARITMA CIHAZINDA KAMPANYA 1.300 TL YERINE 899 TL K.KARTINA 9 TAKSIT  BILGI ICIN:05545420849  www.elitwater.com,spam,filtreli tezgah alti su aritma cihazinda kampanya tl yerine tl kartina taksit bilgi icin
Maile atıyorlar kesintileri,ham,maile atıyorlar kesintileri
Dersteyim ben,ham,dersteyim ben
Ekstra 1750 Mil! 1-31 Ekim'de toplam 1000TL harcayin 1750Mil kazanin! HEDEF yazin 3340'a gonderin m.milesandsmiles.net/c Size ozel indirim ve kampanyalarimiz ile ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 3342'ye  gonderebilirsiniz. ,spam,ekstra mil ekim toplam tl harcayin mil kazanin hedef yazin gonderin milesandsmiles net size ozel indirim kampanyalarimiz ilgili ucretsiz sm almak istemiyorsaniz smsiptal yazip ye gonderebilirsiniz
"Is Bankasi Altin Bulusmalari 24 Kasim Sali gunu Milas Sbde! Altin,ziynet esyalarinizi getirin,karsiligi kadar altin hesabiniza yatsin.Tel:02525121092 - Iletisim tercihlerinizi degistirmek icin:Internet Subesi veya 08507240724 Turkiye Is Bankasi",spam,bankasi altin bulusmalari kasim sali gunu milas sbde altin ziynet esyalarinizi getirin karsiligi kadar altin hesabiniza yatsin tel iletisim tercihlerinizi degistirmek icin internet subesi turkiye bankasi
Full lenen Internet Kampanyasiyla internet paketinizin harcadiginiz yarisi ucretsiz geri gelsin ister misiniz?  Kampanyaya ucretsiz katilarak paketinizin yarisi kadar ek internet hakkiyla doya doya internet kullanmaya devam etmek icin FULLE yazip 2222 ye gonderin.,spam,full lenen internet kampanyasiyla internet paketinizin harcadiginiz yarisi ucretsiz geri gelsin ister misiniz kampanyaya ucretsiz katilarak paketinizin yarisi kadar ek internet hakkiyla doya doya internet kullanmaya devam etmek icin fulle yazip ye gonderin
SIMDI LIGTV ILK 3 AY % 50 INDIRIMLI ! USTELIK ILK AY SPOREXTRA +MOBIL TV+ YETISKIN PAKETI DE HEDIYE ! BILGI ALMAK VE UCRETSIZ KURULUM ICIN BIREYSEL MUSTERI TEMSILCINIZ OZGE 0212 709 77 73 Sms iptali icin http://iptal.co/ITU7N,spam,simdi ligtv ilk ay indirimli ustelik ilk ay sporextra mobil tv yetiskin paketi hediye bilgi almak ucretsiz kurulum icin bireysel musteri temsilciniz ozge sm iptali icin
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham,yo carlos friend already asking working weekend
Kız millet 10 kiloyla gayet sağlıklı bebek dünyaya getiriyor,ham,kız millet kiloyla gayet sağlıklı bebek dünyaya getiriyor
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,someone know asked dating service contact cant guess call revealed po box wu
Gerçekten çok ilginç neye takıldılar anlamadım,ham,gerçekten ilginç neye takıldılar anlamadım
"Haha just kidding, papa needs drugs",ham,haha kidding papa need drug
Can you talk with me..,ham,talk
"Kami dr Ktr INDOSAT sdh hub nmr anda tp tdk trsambung,jd kami krm SMS bhw no anda mendpt mobil JAGUAR PIN;d377hi8 info www.kejutanindosat-plusplus.weebly.com",spam,kami dr ktr indosat sdh hub nmr anda tp tdk trsambung jd kami krm sm bhw anda mendpt mobil jaguar pin hi info
"That's very rude, you on campus?",ham,rude campus
Also that chat was awesome but don't make it regular unless you can see her in person,ham,also chat awesome make regular unless see person
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam,secret admirer looking make contact find reveal think ur special call stopsms
Yo guess what I just dropped,ham,yo guess dropped
I need details about that online job.,ham,need detail online job
"Garanti Mortgage'den kamu calisanlarina,16 Mart-30 Nisan arasinda kredi tahsis ucretsiz mortgage firsati. Bilgi icin 4443846  www.garantimortgage.com",spam,garanti mortgage den kamu calisanlarina mart nisan arasinda kredi tahsis ucretsiz mortgage firsati bilgi icin
Tum English Home aksesuarlar %50 indirimle magazalarimizda ve www.englishhome.com.tr'de. SMS almamak icin RET yazip 4909'a gonderin.Mersis:0326026979700012,spam,tum english home aksesuarlar indirimle magazalarimizda sm almamak icin ret yazip gonderin mersis
"BODY 3.50 - SWEAT 9.90 - ETEK 14.90 - BYN KABAN 39.90 TL FİYATLARLA.... CNS AVM 'de ,KEYİFLİ ALIŞVERİŞLER.",spam,body sweat etek byn kaban tl fi yatlarla cns avm keyi fli alişveri şler
Good evening! How are you?,ham,good evening
When u wana see it then,ham,wana see
Hocanin ip 6 si bende de illa ekran koruyucu takalim dedide :) sabah 8.30 gibi hem kilif alsam hemde ekran koruyucu taktirsak dicektim :),ham,hocanin ip si bende illa ekran koruyucu takalim dedide sabah kilif alsam hemde ekran koruyucu taktirsak dicektim
"ANAOKULU,1200mt2 bahce,tüm gün ingilizce egitim,gezi,aktivite programlariyla 3-6yasa egitim vermeye devam ediyoruz.Acilisa özel indirim icin 05336293594/BORNOVA",spam,anaokulu mt bahce gün ingilizce egitim gezi aktivite programlariyla yasa egitim vermeye devam ediyoruz acilisa özel indirim icin bornova
"YVES ROCHER'den sadece en seckin tuketicilerine ozel... 125 TL'lik alisverisinize 125 TL degerinde orijinal boy CILT BAKIM KREMI, RUJ, VUCUT LOSYONU ve ROLL-ON DEODORANT HEDIYE! Keyifli alisverisler... (Cikmak icin YR->3172) Mersis0630038615700010",spam,yves rocher den sadece seckin tuketicilerine ozel tl lik alisverisinize tl degerinde orijinal boy cilt bakim kremi ruj vucut losyonu roll deodorant hediye keyifli alisverisler cikmak icin yr mersis
Anladimmm. Tabi onlar bunu bilmicekler. Valla super??,ham,anladimmm tabi onlar bunu bilmicekler valla super
"gülayım biz zaten dışardayız, çocuklar da yoruldu zaten, muhtemelen birazdan eve döneriz",ham,gülayım zaten dışardayız çocuklar yoruldu zaten muhtemelen birazdan eve döneriz
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",ham,petey boy whereare friendsare thekingshead come canlove nic
olur,ham,olur
2marrow only. Wed at  &lt;#&gt;  to 2 aha.,ham,marrow wed lt gt aha
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham,swhrt dey hope ur ok tot day love miss take care
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,ham,stand away heart ache without wonder crave
I cant pick the phone right now. Pls send a message,ham,cant pick phone right pls send message
Yup song bro. No creative. Neva test quality. He said check review online.,ham,yup song bro creative neva test quality said check review online
"Sayin :Mehtap SAYGILI,Adiniza Tanimlanan 2650 TL Degerinde Samsung S6 Cep Telefonunuzu 3 Is Günü Almamaniz Durumunda Iade Olacaktir.Onay:02129980103",spam,sayin mehtap saygili adiniza tanimlanan tl degerinde samsung cep telefonunuzu günü almamaniz durumunda iade olacaktir onay
Wife.how she knew the time of murder exactly,ham,wife knew time murder exactly
"yaudah, minta data dummy untuk diagnosa_pasien dong",ham,yaudah minta data dummy untuk diagnosa pasien dong
Good Morning plz call me sir,ham,good morning plz call sir
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",ham,bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care forevr goodfriend
Does daddy have a bb now.,ham,daddy bb
Maybe you should find something else to do instead???,ham,maybe find something else instead
Lol enjoy role playing much?,ham,lol enjoy role playing much
You know what hook up means right?,ham,know hook mean right
Babe ? I lost you ... :-(,ham,babe lost
Ben çıktım savunmadan,ham,ben çıktım savunmadan
"FAIZSIZ, UCRETSIZ, 3 Taksitli Nakit Avans icin Son 15 Gun! 31 Marta kadar 1.500 TL harcayin, yararlanin! Nakit bosluk kartin son 6 hanesini 3404e gonderin!",spam,faizsiz ucretsiz taksitli nakit avans icin son gun mart kadar tl harcayin yararlanin nakit bosluk kartin son hanesini gonderin
"UFO soguk buharli iyonizerli vantilator, ozel fiyati ve ucretsiz kargosu ile 239TL! n11.com/ufo SMS iptali icin n11 IPTAL yazip 2924'e gonderebilirsiniz Mersis No:0309034533200013",spam,ufo soguk buharli iyonizerli vantilator ozel fiyati ucretsiz kargosu tl com ufo sm iptali icin iptal yazip gonderebilirsiniz mersis
Maalesef yapacak birşey yok bunu yapan benim hocalarım ya lanet olsun diyorum kağıdı çok kötü demişler ben kağıdımı gayet iyi biliyorum evet çok iyi bir kağıt değil ama 40 da değil,ham,maalesef yapacak yok bunu yapan benim hocalarım lanet olsun diyorum kağıdı kötü demişler ben kağıdımı gayet iyi biliyorum evet iyi bir kağıt değil değil
Yoruluyor musun bu saat çok geç,ham,yoruluyor musun saat geç
KAMPANYA:LOFT'TA YENI YILA OZEL %30 INDIRIM BASLAMISTIR.MUTLU YILLAR DILERIZ. SMS ALMAMAK ICIN LOFTSU YAZIP 7889'A UCRETSIZ SMS GONDEREBILIRSINIZ. MH:5495520372,spam,kampanya loft ta yeni yila ozel indirim baslamistir mutlu yillar dileriz sm almamak icin loftsu yazip ucretsiz sm gonderebilirsiniz mh
"Müdürüm karar veriyor pazar akşam dönüyorum, gitmeden görebilirim inşallah",ham,müdürüm karar veriyor pazar akşam dönüyorum gitmeden görebilirim inşallah
Barcin'dan bahara merhaba kampanyasi. 250 TL ve üzeri alisverisinize %20 parapuan. 15 Mart'a kadar sürecek bu kampanyayi kacirmayin!,spam,barcin dan bahara merhaba kampanyasi tl üzeri alisverisinize parapuan mart kadar sürecek kampanyayi kacirmayin
R u here yet? I'm wearing blue shirt n black pants.,ham,yet wearing blue shirt black pant
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,ham,nvm going wear sport shoe anyway going late leh
"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",spam,welcome select service added benefit call specially trained advisor free mobile dialling
bilmiyorum tam olarak akşamüstü gelicem dedi,ham,bilmiyorum tam olarak akşamüstü gelicem dedi
"Sayin TUNCAY, Alsancak magazamiz indirimin ilk 2 gunu Sabah 9'da aciliyor. (6-7 Ocak) Sms ret icin MS yazin 3525'e gonderin. Mersis:0396007527100022",spam,sayin tuncay alsancak magazamiz indirimin ilk gunu sabah aciliyor ocak sm ret icin m yazin gonderin mersis
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham,wan early lei outside wun home early neva mind
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",spam,contacted dating service someone know find call land line pobox tg
 &lt;#&gt;  mins but i had to stop somewhere first.,ham,lt gt min stop somewhere first
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",ham,good afternoon love good see word ym get tm smart move slave smile drink coffee await
Şimdi Aksaray terminale geldik hayırlısıyla eve bir ulaşsaydım,ham,şimdi aksaray terminale geldik hayırlısıyla eve bir ulaşsaydım
"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",ham,oh rite well im best mate pete went week geva longer week
Well welp is sort of a semiobscure internet thing,ham,well welp sort semiobscure internet thing
"Get the door, I'm here",ham,get door
Oh... Kay... On sat right?,ham,oh kay sat right
Get me out of this dump heap. My mom decided to come to lowes. BORING.,ham,get dump heap mom decided come lowes boring
tosunu goresim geldi.,ham,tosunu goresim geldi
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham,awesome remember last time got somebody high first time diesel
None of that's happening til you get here though,ham,none happening til get though
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",ham,aight set free think could text blake address occurs quite sure thought
Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,ham,forget owns private property good boy always passionate kiss
Lol that's different. I don't go trying to find every real life photo you ever took.,ham,lol different go trying find every real life photo ever took
"Pesin al, taksit taksit ode!31 Mart'a kadar olan harcamalarinizi UCRETSIZ,FAIZSIZ 4'e bolun!""TAKSIT"" bosluk kartin son 6 hanesini 3404'e gonder! parafcard.com",spam,pesin al taksit taksit ode mart kadar olan harcamalarinizi ucretsiz faizsiz bolun taksit bosluk kartin son hanesini gonder parafcard com
Gimana nuy menghadapi beliau?,ham,gimana nuy menghadapi beliau
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham,boat still mom check yo half naked
IM LATE TELLMISS IM ON MY WAY,ham,im late tellmiss im way
Enjoy urself tmr...,ham,enjoy urself tmr
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,yeah got apologetic fallen actin like spoilt child got caught till go badly cheer
Hahn aynen böyle kalsin :),ham,hahn aynen böyle kalsin
Heh tamam ozaman mavi şortu buldum,ham,heh tamam ozaman mavi şortu buldum
Memperbaiki bug2 karna ganti db bbrp. Lg enak nonton td ditelfon 😂,ham,memperbaiki bug karna ganti db bbrp lg enak nonton td ditelfon
Great. P diddy is my neighbor and comes for toothpaste every morning,ham,great diddy neighbor come toothpaste every morning
Bonus American Expressle BPde ayri gunlerde 3 defa 100TL uzeri yakit alimina 20TL bonus!Ilk harcamadan once BPBONUS yaz 3340a gonder.Son gun 15 Kasim!www.bonus.com.tr. Size ozel indirim/kampanyalarla ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 2244 e gonderin,spam,bonus american expressle bpde ayri gunlerde tl uzeri yakit alimina tl bonus ilk harcamadan bpbonus yaz gonder son gun kasim size ozel indirim kampanyalarla ilgili ucretsiz sm almak istemiyorsaniz smsiptal yazip gonderin
Sat right? Okay thanks... ,ham,sat right okay thanks
"Parfumde buyuk firsat! Burberry Classic EDT Erkek Parfumu 100 ml sadece 99,90 TL! http://bit.ly/burbrry",spam,parfumde buyuk firsat burberry classic edt erkek parfumu ml sadece tl
Ok... Sweet dreams...,ham,ok sweet dream
Ben Ankara'ya gelecektim aslında sonra sen nasılsa geleceksin diye vazgeçtim,ham,ben ankara gelecektim sonra sen nasılsa geleceksin vazgeçtim
Şimdi aradım dayanamadım sordum da Esra hanımdaymış,ham,şimdi aradım dayanamadım sordum esra hanımdaymış
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",ham,hello hello hi lou sorry took long reply left mobile friend lancaster got bak neway im sorry make ur day hun
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam,selected stay top british hotel nothing holiday valued dial claim national rate call bx sw s
How much are we getting?,ham,much getting
Dagi'de Tum Konfeksiyon ve Camasir Urunlerinde %50 iNDIRIM Kampanyasinda  SON GUN Keyifli Alisverisler Dileriz Bu mesaji almak istemiyorsan RET 3347'ye gonder,spam,dagi tum konfeksiyon camasir urunlerinde indirim kampanyasinda son gun keyifli alisverisler dileriz mesaji almak istemiyorsan ret ye gonder
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham,lt gt saw day ago guy want sell wifi lt gt lt gt blanked
My uncles in Atlanta. Wish you guys a great semester.,ham,uncle atlanta wish guy great semester
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,free st week entry textpod chance win gb ipod cash every wk txt pod t c custcare
Tamamdır saolasım,ham,tamamdır saolasım
3 pa but not selected.,ham,pa selected
Size ozel 20TL bayram bonusu! 27 Eylul'e kadar Paracard ile  260TL daha harcayin 20TL bonus kazanin! BAYRAM yazip 3340'a gonderin paracard.com.tr/b Size ozel indirim ve kampanyalarimiz ile ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 3342'ye gonderin.,spam,size ozel tl bayram bonusu eylul kadar paracard tl harcayin tl bonus kazanin bayram yazip gonderin paracard com tr size ozel indirim kampanyalarimiz ilgili ucretsiz sm almak istemiyorsaniz smsiptal yazip ye gonderin
Baskan pilllllll :),ham,baskan pilllllll
Indirim: Watsons Buyuk Yilbasi Indirimi basladi! %50'ye varan firsatlar icin hemen tikla http://goo.gl/vTlCmo Cikis:WTS yaz 3525e gonder.Mersis:0212037036400019,spam,indirim watson buyuk yilbasi indirimi basladi ye varan firsatlar icin hemen tikla cikis wts yaz gonder mersis
Gececekmisiniz,ham,gececekmisiniz
"50TL BONUS! BONUSA UYE MARKET,GIYIM,BEYAZ ESYA,RESTORANDA HER 100TL HARCAMAYA 10TL,TOPLAM 50TL BONUS! ILK HARCAMADAN ONCE KAZAN YAZ 3340'A GONDER. BONUS.COM.TR",spam,tl bonus bonusa uye market giyim beyaz esya restoranda tl harcamaya tl toplam tl bonus ilk harcamadan kazan yaz gonder bonus com tr
"İyi iyi topla bişeyler, laptop isteseydin :))",ham,yi iyi topla bişeyler laptop isteseydin
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham,hey gave photo registered driving ah tmr wan na meet yck
"Sorry, I can't help you on this.",ham,sorry help
Onurlarda evde takılır. Kesin pes atar,ham,onurlarda evde takılır kesin pe atar
Karahayit Barika Termal de Yilbasi Coskusunu Fedon la Yasayin! 4Gun 3Gece Yarim Pansiyon Yilbasi Paketi 498 TL HemenAra 02589880188 www.barikatermal.com,spam,karahayit barika termal yilbasi coskusunu fedon la yasayin gun gece yarim pansiyon yilbasi paketi tl hemenara
Telefonun etkin!,ham,telefonun etkin
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam,msg mobile content order resent previous attempt failed due network error query customersqueries netvision uk com
ÌÏ wait 4 me in sch i finish ard 5..,ham,wait sch finish ard
"FIRSAT yazip 2222'ye ucretsiz gondererek, 30 Dk gunluk konusma kazanabilir ve markalarin INDIRIM ve KAMPANYALARINI tum hatlarinizla ucretsiz ogrenebilirsiniz",spam,firsat yazip ye ucretsiz gondererek dk gunluk konusma kazanabilir markalarin indirim kampanyalarini tum hatlarinizla ucretsiz ogrenebilirsiniz
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,text meet someone sexy today find date even flirt join reply name age eg sam msg recd thirtyeight penny
K.i did't see you.:)k:)where are you now?,ham,see
You all ready for * big day tomorrow?,ham,ready big day tomorrow
Bilmiyorum arastirmadim,ham,bilmiyorum arastirmadim
O i played smash bros  &lt;#&gt;  religiously.,ham,played smash bros lt gt religiously
Ev kendinin olmayınca insan bişey yapamıyor buralarda,ham,ev kendinin olmayınca insan bişey yapamıyor buralarda
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham,really need kiss miss baby ur baby eva
Tamam bişey olursa arasın,ham,tamam bişey olursa arasın
Oh k. . I will come tomorrow,ham,oh come tomorrow
You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,spam,guaranteed award maybe even cash claim ur award call free legitimat efreefone number wat think
Sen ne zaman geliyorsun,ham,sen zaman geliyorsun
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham,way make sure get train worc foregate street shrub hill fun night
Dask poliçeside zorunludur.,ham,dask poliçeside zorunludur
"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",spam,butuh dana tunai cepat juta dgn bunga rendah flat bln prose dijamin hari syarat mudah info ibu
FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,spam,free doublescoop ice cream disc di haagen dasz dengan tcash tap berlaku info tsel tappromo
Where's my boytoy? I miss you ... What happened?,ham,boytoy miss happened
"Bir sonraki ay tarife icerigini sadece 10TL farkla 3GB internet, her yone 750dk ve 6000SMS'e esnetmek icin ESNEK EKSTRA yaz 7000e gonder, bir sonraki fatura doneminden itibaren kullanmaya basla.",spam,bir sonraki ay tarife icerigini sadece tl farkla gb internet yone dk sm esnetmek icin esnek ekstra yaz gonder bir sonraki fatura doneminden itibaren kullanmaya basla
